Aantal;Eenheid;Product;Locatie
4;liter;Rivella;Salonbank, rugleuning
10;liter;melk;Salonbank, rugleuning
2;liter;limonade;Salonbank, rugleuning
5;liter;bitter lemon;Salonbank, rugleuning
3;liter;vruchtensap;Salonbank, rugleuning
2;liter;jus d’orange;Salonbank, rugleuning
4;rollen;keukenpapier;Salonbank, rugleuning
1,5;pak;koffiebonen;Salonbank, rugleuning
2;zakken;tortillachips;Salonbank, rugleuning
1;pak;Cup-a-Soup;Salonbank, rugleuning
1;pak;kaasvlinders;Salon Snackla
6;stuks;gevulde koeken;Salon Snackla
6;stuks;appelrondo’s;Salon Snackla
12;stuks;Vlugge Japies;Salon Snackla
1;pak;stroopwafels;Salon Snackla
1;zak;Japanse mix;Salon Snackla
10;stuks;Penny Wafels;Salon Snackla
7;verpakkingen/zakjes;chocoladepinda’s;Salon Snackla
7;verpakkingen;Sultana;Salon Snackla
500;gram;pistachenootjes;Salon Snackla
2;pakken;kaassticks;Salon Snackla
1;pak;hot crispy rijstsnackjes;Salon Snackla
2;kleinverpakkingen;snackmix;Salon Snackla
1;verpakking;gezouten pinda’s;Salon Snackla
10;stuks;haverrepen;Salon Snackla
1;verpakking;pretzelmix;Salon Snackla
1;rol;biscuitjes;Salon Snackla
1;zak;winegums;Salon Snackla
3;pakken;Tuc-koekjes;Salon Snackla
18;blikjes;Heineken 0.0;Smokkeluik stuurboord
12;blikjes;Affligem Blond;Smokkeluik stuurboord
6;blikjes;Hertog Jan bier;Smokkeluik stuurboord
3;flessen à 1,5 liter;water;Smokkeluik bakboord
1;potje;Italiaanse kruiden;Kombuis kruidenkast
1;potje;rundvleeskruiden;Kombuis kruidenkast
1;potje;basilicum;Kombuis kruidenkast
1;potje;peterselie;Kombuis kruidenkast
1;potje;paprikapoeder;Kombuis kruidenkast
1;potje;knoflookpoeder;Kombuis kruidenkast
1;potje;uipoeder;Kombuis kruidenkast
1;potje;kerriepoeder;Kombuis kruidenkast
1;set;zout en peper;Kombuis kruidenkast
1;potje;curry madras kruiden;Kombuis kruidenkast
1;potje;chilivlokken;Kombuis kruidenkast
12;blokjes;groentebouillon;Kombuis kruidenkast
12;blokjes;kipbouillon;Kombuis kruidenkast
1;flesje;sweet chilisaus;Kombuis kruidenkast
1;fles;ketchup;Kombuis kruidenkast
1;fles;olijfolie;Kombuis kruidenkast
1;fles;honing-barbecuesaus;Kombuis kruidenkast
1;beetje;paneermiddel;Kombuis kruidenkast
1;fles;balsamicoazijn;Kombuis kruidenkast
1;flesje;citroensap;Kombuis kruidenkast
1;fles;sojasaus;Kombuis kruidenkast
1;potje;komijn;Kombuis kruidenkast
1;potje;kaneel;Kombuis kruidenkast
1;potje;tahini;Kombuis kruidenkast
1;stuk;mayonaise;Kombuis kruidenkast
2;kilo;bloem;Salonbank boven
4;pakjes;smeerboter;Salonbank boven
1;pak;pannenkoekenmix;Salonbank boven
6;kleine pakjes;kikkererwten;Salonbank boven
2;blikken;linzen;Salonbank boven
1;pot;jam;Salonbank boven
2;blikken;rode kidneybonen;Salonbank boven
2;blikken;zwarte bonen;Salonbank boven
2;blikken;gehaktballen in tomatensaus;Salonbank boven
1;blik;gehaktballen in satésaus;Salonbank boven
1;blik;sperziebonen;Salonbank boven
3;blikjes;doperwten met wortelen;Salonbank boven
8;blikjes;tomatenpuree;Salonbank boven
4;potjes;groene pesto;Salonbank boven
2;potten;rode pesto;Salonbank boven
2;potten;zongedroogde tomaten;Salonbank boven
2;blikken;knakworsten;Salonbank boven
7;blikken;tonijn;Salonbank boven
1;blik;zalm;Salonbank boven
5;pakken;passata;Salonbank boven
2;pakjes;kokosmelk;Salonbank boven
3;pakjes;room;Salonbank boven
6;blikjes;maïs;Salonbank boven
1;pot;gedroogde paprika;Salonbank boven
2;potten;augurken;Salonbank boven
1;potje;hummus;Salonbank boven
1;potje;garam masala pasta;Salonbank boven
3;pakjes;currypasta;Salonbank boven
10;pakjes;chocolademelk;Salonbank boven
2;kleine pakjes;melk;Salonbank boven
7;pakjes;Mexicaanse kruiden;Salonbank boven
3;zakjes;Oosterse kruiden van Honig;Salonbank boven
5;pakjes;pastakruiden van Honig;Salonbank boven
1;stuk;chorizo-worst;Salonbank boven
1;stuk;cervelaatworst;Salonbank boven
3;pakken van 6;afbakbroodjes;Hoge kast kombuis
1;fles;schenkstroop;Hoge kast kombuis
3;pakken à 500 gram;pasta;Hoge kast kombuis
1;extra pak;pasta;Hoge kast kombuis
2;pakken à 500 gram;macaroni;Hoge kast kombuis
12;porties;noodles;Hoge kast kombuis
500;gram;tortellini;Hoge kast kombuis
2;pakken;couscous;Hoge kast kombuis
2;pakken;rijst;Hoge kast kombuis
1,5;pak;Brinta;Hoge kast kombuis
8;pakken;wraps;Hoge kast kombuis
4;zakjes;aardappelpuree;Hoge kast kombuis
1;pak;rijstwafels;Hoge kast kombuis
2;pakjes;crackers;Hoge kast kombuis
2;pakken;toastjes;Hoge kast kombuis
1;pak;roggebrood;Hoge kast kombuis
1;pak;cruesli;Hoge kast kombuis
1;pak;suiker;Hoge kast kombuis
1;zak;hagelslag;Hoge kast kombuis
1;pot;appelstroop;Hoge kast kombuis
1;zak;haverflokken;Hoge kast kombuis
4;pakken;thee;Hoge kast kombuis
1;pot;pindakaas;Hoge kast kombuis
1;pot;jam;Hoge kast kombuis
1;pot;chocopasta;Hoge kast kombuis
1;fles;honing;Hoge kast kombuis
1;zak;noten;Hoge kast kombuis
1;pot;cashewnoten;Hoge kast kombuis
1;pot;pistachenootjes;Hoge kast kombuis
1;pot;pijnboompitten;Hoge kast kombuis
1;pot;gedroogde abrikozen;Hoge kast kombuis
1;zak;eierkoeken;Hoge kast kombuis
1;pak;soepstengels;Hoge kast kombuis
1;zak;minibars;Snoepla kombuis
14;stuks;Bifi-worstjes;Snoepla kombuis
